type,yearpublished,minplayers,maxplayers,playingtime,minage,users_rated,average_rating,bayes_average_rating,total_traders,total_wanters,total_wishers,average_weight
1,2005.0,2.0,2.0,180.0,13.0,20113,8.33774,8.22186,372,1219,5865,3.4785
1,2012.0,2.0,5.0,150.0,12.0,14383,8.28798,8.14232,132,1586,6277,3.8939
1,2013.0,1.0,7.0,210.0,12.0,9262,8.28994,8.06886,99,1476,5600,3.7761
1,2006.0,2.0,4.0,240.0,12.0,13294,8.20407,8.05804,362,1084,5075,4.159
1,2002.0,2.0,5.0,150.0,12.0,39883,8.14261,8.04524,795,861,5414,3.2943
1,2007.0,1.0,5.0,150.0,12.0,39714,8.11957,8.03847,837,958,6402,3.616
1,2012.0,2.0,2.0,45.0,14.0,15281,8.1676,7.97822,680,627,3244,3.3103
1,2011.0,1.0,4.0,150.0,14.0,12697,8.15901,7.96929,367,1116,5427,4.1292
1,2011.0,2.0,4.0,90.0,12.0,15461,8.07879,7.95011,215,929,3681,3.0442
1,2011.0,2.0,6.0,200.0,14.0,15709,8.07933,7.93244,273,1108,5581,3.6359
1,2004.0,2.0,6.0,120.0,12.0,34422,7.9888,7.91794,550,1171,6157,3.2911
1,2014.0,2.0,5.0,90.0,0.0,3980,8.43944,7.91643,57,701,2970,3.225
1,2012.0,2.0,4.0,150.0,13.0,3870,8.35044,7.88643,71,677,2431,3.9375
1,2012.0,1.0,4.0,180.0,14.0,10539,8.09283,7.88503,217,1379,5821,3.6328
1,2008.0,1.0,5.0,200.0,12.0,15774,7.99115,7.88172,205,1343,5149,3.7531
1,2007.0,3.0,4.0,180.0,13.0,8785,8.03071,7.85824,149,798,2858,3.8646
1,2012.0,2.0,4.0,90.0,13.0,12143,7.98673,7.83148,120,1056,3945,3.5595
1,2014.0,2.0,5.0,210.0,14.0,9188,8.05776,7.82389,144,1086,4956,2.9408
1,2010.0,2.0,7.0,30.0,10.0,36732,7.87047,7.79413,464,1046,5806,2.3384
1,2005.0,2.0,5.0,150.0,12.0,19160,7.89829,7.78071,353,878,4011,3.8252
1,2012.0,2.0,6.0,120.0,12.0,6753,7.98786,7.7478,78,1017,3197,3.3056
1,2009.0,2.0,4.0,30.0,13.0,19261,7.85479,7.73936,374,461,2281,2.4469
1,2010.0,2.0,6.0,240.0,14.0,10187,7.89276,7.72445,243,1017,4285,4.0103
1,2007.0,2.0,4.0,60.0,12.0,28655,7.80281,7.72433,708,761,4597,2.9617
1,2012.0,2.0,4.0,60.0,14.0,11194,7.93301,7.72151,334,421,1826,2.4577
1,1995.0,2.0,5.0,120.0,12.0,15853,7.83279,7.71949,261,1130,3787,3.0919
1,2013.0,1.0,8.0,240.0,14.0,8388,7.97188,7.71614,147,643,3447,3.2834
1,2012.0,2.0,5.0,60.0,12.0,19864,7.82181,7.70704,257,995,4706,2.5177
1,2008.0,3.0,6.0,240.0,10.0,20833,7.82752,7.70269,514,643,4005,3.2013
1,2005.0,3.0,6.0,240.0,12.0,12064,7.88473,7.6917,287,927,4650,4.1942
1,2008.0,2.0,4.0,30.0,13.0,44319,7.77298,7.68894,1162,511,4362,2.3766
1,2012.0,5.0,10.0,30.0,13.0,9639,7.86147,7.67008,184,305,1674,1.8027
